,Activity,Location,Start,End,ActualTimes,ChargeableStart,ChargeableEnd
150,CICF,10,2023-02-12 10:00:00,2023-02-12 13:00:00,,10:00,13:00
151,Babywearing,10a,2023-02-12 10:00:00,2023-02-12 13:00:00,,10:00,13:00
152,Canterbury Somali association ,outdoor,2023-02-12 12:00:00,2023-02-12 18:00:00,,12:00,18:00
153,Better Breathing Exs.,5,2023-02-13 09:30:00,2023-02-13 12:00:00,,09:30,12:00
154,SEWN,11,2023-02-13 09:30:00,2023-02-13 15:30:00,,09:30,15:30
155,Plunket -Toes and Giggles,1,2023-02-13 10:00:00,2023-02-13 12:45:00,,10:00,12:45
156,PW - Kaumatua Program,5,2023-02-13 13:00:00,2023-02-13 15:30:00,,13:00,15:30
157,PCCCT -Craft,10a,2023-02-13 14:00:00,2023-02-13 16:15:00,,14:00,16:15
158,ICEcycles,7,2023-02-13 17:30:00,2023-02-13 20:30:00,,17:30,20:30
159,NZSL4U,10a,2023-02-13 17:45:00,2023-02-13 20:00:00,...-19:48,17:45,20:00
160,Impulse Theatre,1,2023-02-13 18:30:00,2023-02-13 21:30:00,,18:30,21:30
161,Book club,10,2023-02-13 19:00:00,2023-02-13 21:00:00,...-21:33,19:00,21:18
162,Te Reo Maori class,5,2023-02-13 19:15:00,2023-02-13 21:45:00,,19:15,21:45
163,ELP,1,2023-02-14 09:30:00,2023-02-14 14:00:00,,09:30,14:00
164,PCCCT Leisure Club ,10,2023-02-14 12:30:00,2023-02-14 15:00:00,,12:30,15:00
165,DIY Dance,5,2023-02-14 15:00:00,2023-02-14 16:00:00,,15:00,16:00
166,NZSL4U,10a,2023-02-14 17:45:00,2023-02-14 20:00:00,...-19:47,17:45,20:00
167,Te Reo Maori class,1,2023-02-14 18:00:00,2023-02-14 19:30:00,,18:00,19:30
168,Plunket -Pregnancy and Parenting Education,10,2023-02-14 18:30:00,2023-02-14 20:30:00,...-19:47,18:30,20:30
169,Hub Tech,11,2023-02-15 09:00:00,2023-02-15 16:00:00,,09:00,16:00
170,SEWN,11,2023-02-15 09:30:00,2023-02-15 15:30:00,,09:30,15:30
171,ELP,1,2023-02-15 10:00:00,2023-02-15 12:00:00,,10:00,12:00
172,Canterbury Somali association ,10a,2023-02-15 10:30:00,2023-02-15 12:30:00,,10:30,12:30
173,Hub group's meeting,10,2023-02-15 13:30:00,2023-02-15 15:00:00,,13:30,15:00
174,Salvation Army - stone carving,outside,2023-02-15 13:30:00,2023-02-15 16:00:00,,13:30,16:00
175,Deutsch in Christchurch ,1,2023-02-15 15:30:00,2023-02-15 18:30:00,,15:30,18:30
176,Ngati Kahungunu whanau,10,2023-02-15 16:00:00,2023-02-15 21:00:00,,16:00,21:00
177,NZSL4U,10a,2023-02-15 17:45:00,2023-02-15 20:00:00,...-19:52,17:45,20:00
178,Olympic Wrestling,5,2023-02-15 18:00:00,2023-02-15 20:00:00,,18:00,20:00
179,Narcotics Anonymous,1,2023-02-15 18:45:00,2023-02-15 20:00:00,,18:45,20:00
180,CRRRC -Foodbank,10a,2023-02-16 10:00:00,2023-02-16 12:00:00,,10:00,12:00
181,Sit and be fit,10,2023-02-16 10:00:00,2023-02-16 11:30:00,,10:00,11:30
182,Autistic Innovations ,1,2023-02-16 12:30:00,2023-02-16 14:30:00,,12:30,14:30
183,Te Reo Maori Class,10a,2023-02-16 18:30:00,2023-02-16 20:30:00,...-20:46,18:30,20:31
184,African Drumming,1,2023-02-16 19:00:00,2023-02-16 21:00:00,,19:00,21:00
185,Friends Edmonds Gardens ,10,2023-02-16 19:30:00,2023-02-16 21:00:00,,19:30,21:00
186,SEWN,11,2023-02-17 09:30:00,2023-02-17 15:30:00,,09:30,15:30
187,Outreach Clinic,11,2023-02-17 10:00:00,2023-02-17 12:00:00,,10:00,12:00
188,Birthright - Connect 'n learn parents group ,1,2023-02-17 10:00:00,2023-02-17 12:00:00,,10:00,12:00
189,Auahatanga wellbeing,1,2023-02-17 12:15:00,2023-02-17 15:15:00,12:10-...,12:15,15:15
190,Song Merchants,10,2023-02-17 18:30:00,2023-02-17 22:55:00,17:56-22:53,11:42,22:55
